entry_number,entry_date,description,org_id
148.0,2023-02-08 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
149.0,2023-02-12 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
150.0,2022-10-10 00:00:00,دفعه من حساب سياره الموقع 1,d5789445-11e3-4ad6-9297-b565216751141
150.0,2023-03-09 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
151.0,2023-03-25 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
152.0,2022-10-11 00:00:00,دفعه من مستخلص نجاره محمد محمد شحاته,d5789445-11e3-4ad6-9297-b565216751141
152.0,2023-06-05 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
153.0,2023-06-20 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
154.0,2022-10-11 00:00:00,دفعه من مستخلص النجاره  محمد جمال,d5789445-11e3-4ad6-9297-b565216751141
154.0,2023-07-09 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
155.0,2025-07-13 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
156.0,2022-10-11 00:00:00,دفعه من مستخلص نجاره مستخلص حداده محمود خيري ,d5789445-11e3-4ad6-9297-b565216751141
156.0,2023-08-03 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
157.0,2023-09-06 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
158.0,2022-10-11 00:00:00,شراء بوجو لمولد الكهرباء +2انبوبه لحام حديد + نقل المولد  ,d5789445-11e3-4ad6-9297-b565216751141
158.0,2023-09-11 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
159.0,2023-09-14 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
160.0,2022-10-12 00:00:00,من حساب سياره امير ,d5789445-11e3-4ad6-9297-b565216751141
160.0,2023-09-21 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
161.0,2023-09-27 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
162.0,2022-10-12 00:00:00,اكراميه بمب صب اعمده ثالث 43,d5789445-11e3-4ad6-9297-b565216751141
162.0,2023-09-28 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
163.0,2023-09-30 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
164.0,2022-10-12 00:00:00,انبوبه غاز للمهندسيين,d5789445-11e3-4ad6-9297-b565216751141
164.0,2023-10-02 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
165.0,2023-10-12 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
166.0,2022-10-13 00:00:00,بنزين للمولد,d5789445-11e3-4ad6-9297-b565216751141
166.0,2023-10-25 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
167.0,2023-11-09 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
168.0,2022-10-13 00:00:00, 2متر خرطوم لسحب بنزين من السياره + شاي,d5789445-11e3-4ad6-9297-b565216751141
168.0,2024-02-12 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
169.0,2024-02-13 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
170.0,2022-10-13 00:00:00,باقي رواتب شهر 9,d5789445-11e3-4ad6-9297-b565216751141
170.0,2024-02-22 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
171.0,2024-02-25 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
172.0,2022-10-13 00:00:00,سهره استشاري تسليم نجاره سقف ارضي 30وحداده اعمده ارضي 44.,d5789445-11e3-4ad6-9297-b565216751141
172.0,2024-02-29 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
173.0,2024-03-03 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
174.0,2022-10-13 00:00:00,سهره استشاري تسليم نجاره سقف ارضي 30وحداده اعمده ارضي 44.,d5789445-11e3-4ad6-9297-b565216751141
174.0,2024-03-07 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
175.0,2024-03-10 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
176.0,2022-10-13 00:00:00,من حساب الفرمجي محمد نصر ,d5789445-11e3-4ad6-9297-b565216751141
176.0,2024-03-12 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
